m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
32,128,1,512,random-match-keyword-100-angular-no-filters,0,78.16169710000031,173.61882690000039,0.0076752613400174596,0.016966029510002954,0.9804299999999999,0.9466700000000001,0.0004152604740190068,0.0020910983493193833,0.006872099998872727,0.010152900000321097,0.012883199997304473,0.04859959999976127,127.93990369996662,57.59744020019051,0.008223599998018472,0.02104601499995623,0.00962480300015159,0.025266787999671584
32,128,1,64,h-and-m-2048-angular-filters,0,72.07765469999867,,0.006315041629951156,,0.999864,,0.0017779213651080838,,0.0016185999993467703,,0.015611999995599035,,138.73925340137606,,0.009277389999624573,,0.010664701999339742,
32,128,1,64,h-and-m-2048-angular-no-filters,0,47.59443480000482,,0.003810962540123728,,0.9986200000000001,,0.0004303729273447145,,0.0026951999898301437,,0.010853899992071092,,210.10859866328295,,0.004491240001516416,,0.004863912001455901,
32,128,1,64,random-match-keyword-100-angular-filters,0,20.887626300000193,,0.0019860756500007484,,1.0,,0.0004381851257765579,,0.001116800000090734,,0.010079100000439212,,478.7523415238383,,0.0025583050006389384,,0.0027881389987487646,
32,128,1,64,random-match-keyword-100-angular-no-filters,0,32.02981440000076,,0.003081621580015417,,0.7481200000000001,,0.00023310075978514257,,0.002621499999804655,,0.014963400000851834,,312.2091147677635,,0.0034206099982839076,,0.0037197229983576114,
32,128,100,128,h-and-m-2048-angular-filters,0,33.14834559999872,24.406593499996234,0.016568192890028876,0.008236921470009838,0.9999400000000002,0.996792,0.005506165935974884,0.0040452358535020315,0.003095300002314616,0.003068999998504296,0.04299610000452958,0.057035500001802575,301.6741806867244,409.7253473739194,0.026448559998971173,0.01443092499539489,0.031775008000840904,0.021791292998459548
32,128,100,128,h-and-m-2048-angular-no-filters,0,29.65445550000004,19.780166899996402,0.009491350810055156,0.005421876769971277,0.9994,0.9988299999999999,0.0032350175556985538,0.0009408357029916972,0.004823499999474734,0.0030073000016273,0.06722630000149366,0.04591169999912381,337.21745455754484,505.55690710586566,0.01569093500511371,0.006754965001164236,0.02025713899434778,0.007929530003239052
32,128,100,128,random-match-keyword-100-angular-filters,0,6.291023400000995,14.472362100000055,0.004696683869998196,0.011153963389999286,1.0,0.5789886666666667,0.0016949426829858782,0.0044634594353855465,0.0020958999994036276,0.0036680999999134656,0.04959000000053493,0.07293349999986276,1589.5664924721816,690.9722083307992,0.006871824999416274,0.018426915000031834,0.007796571998533188,0.02452956799989352
32,128,100,128,random-match-keyword-100-angular-no-filters,0,20.959701900002983,25.574113399999987,0.016294569030005368,0.02000733275999355,0.8661400000000001,0.8136200000000001,0.0016540297030494572,0.0059542164753643555,0.007535900000220863,0.008077500000581495,0.04856130000189296,0.08275080000021262,477.1060221996085,391.02039799354316,0.01860804000207281,0.03105532999998104,0.021711053001199618,0.03874634400015568
32,128,100,256,h-and-m-2048-angular-filters,0,36.04235260000132,25.805060999999114,0.019362062790003257,0.009062743390011747,0.9999720000000001,0.9981640000000002,0.00773736909496976,0.0052265788335535066,0.0031145000029937364,0.0027226000020164065,0.07636250000359723,0.07246409999788739,277.4513670342272,387.5208820471435,0.03391191500304557,0.01623333500283479,0.041284428998988015,0.0294096739979432
32,128,100,256,h-and-m-2048-angular-no-filters,0,39.760404299988295,21.544592700003705,0.028636903410094963,0.006885773479960335,0.9996200000000001,0.9993,0.005593717253034492,0.0012183461865011142,0.006482199998572469,0.0038267999989329837,0.07252000000153203,0.047510100004728884,251.50649687943297,464.15358782801593,0.036057429994252745,0.008899139999630275,0.039695839001651634,0.010215434005076532
32,128,100,256,random-match-keyword-100-angular-filters,0,6.279576499999166,14.386548400000038,0.004693249729995477,0.011091390439998872,1.0,0.5789886666666666,0.0014466493766337432,0.004139158413202243,0.002170400000977679,0.003974400000060996,0.03551289999995788,0.06876169999986814,1592.4640777927186,695.0937585557334,0.006953974999942144,0.018297899999890888,0.008005163000434551,0.024023012999912247
