m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
16,128,100,512,random-match-keyword-100-angular-filters,0,6.242438299999776,15.99184020000007,0.004676340740009982,0.012341943060001017,1.0,0.558359,0.0015131710668457481,0.005122425498155353,0.002184599999964121,0.004489899999953195,0.04379979999976058,0.10009730000001582,1601.9381401014982,625.3189048249717,0.006809305000842869,0.021010424999951736,0.007568337999546202,0.02823379699994121
16,128,100,512,random-match-keyword-100-angular-no-filters,0,35.45023730000321,17.751700899999378,0.027924249619976034,0.013786031330000878,0.89881,0.6959599999999999,0.0018972867256300842,0.0031829150004504337,0.007368099999439437,0.007021800000075018,0.07314320000295993,0.0618094999999812,282.08555884614896,563.3263007490369,0.03022151499753818,0.01951090999978077,0.03521624899945892,0.023368127999974606
16,128,100,64,gist-960-euclidean,0,1.8789497000002484,,0.01395463989999189,,0.8533,,0.0036843010801589863,,0.007551900000180467,,0.057792000000063126,,532.2122247337796,,0.01665088500035381,,0.02178439699980117,
16,128,100,64,glove-100-angular,0,10.812431800000923,,0.008235192549998646,,0.8060149999999999,,0.0019339674790847452,,0.004534800000328687,,0.047730299998875125,,924.8613249055727,,0.011056420000568322,,0.012460545999347235,
16,128,100,64,glove-25-angular,0,66.677929700003,,0.05274305299999615,,0.9999959999999999,,0.008035695395656182,,0.019136900002195034,,0.14169219999894267,,149.97466245565732,,0.06296688499533047,,0.07762032899991032,
16,128,100,64,h-and-m-2048-angular-filters,0,31.49958350000088,,0.0146273774800291,,0.9998239999999999,,0.004020679497084435,,0.003013900000951253,,0.03745150000031572,,317.4645150466742,,0.02100412000254437,,0.0239505439990171,
16,128,100,64,h-and-m-2048-angular-no-filters,0,23.211797999989358,,0.005746624400053406,,0.99854,,0.0012884314294018962,,0.0034574999881442636,,0.05648879999353085,,430.8153982730931,,0.006877080006961476,,0.008815876999869944,
16,128,100,64,laion-small-clip,0,82.26540587500494,,0.06639481236879656,,0.9934199999999999,,0.06704998073279654,,0.00385541700234171,,0.6375976669951342,,60.778889337725516,,0.19479529585223646,,0.3052828737537511,
16,128,100,64,random-100-euclidean,0,0.08462900000017726,,0.02971540999994886,,1.0,,0.013554338476447264,,0.002714699999842196,,0.03906600000004801,,118.16280471208516,,0.03861757499997793,,0.03897631500003399,
16,128,100,64,random-match-keyword-100-angular-filters,0,6.370443100000557,,0.00477414582998772,,1.0,,0.0016343450035626397,,0.0021104000006744172,,0.04636159999972733,,1569.74952024909,,0.0069918250007503955,,0.008066210000033608,
16,128,100,64,random-match-keyword-100-angular-no-filters,0,9.356499199999234,,0.007088772789977156,,0.56338,,0.0018387560948755304,,0.003951700000470737,,0.0527111999981571,,1068.7758087983184,,0.009215420000509764,,0.012043131003010797,
32,128,1,128,gist-960-euclidean,0,6.486272699999972,16.508599900000263,0.006351817600012964,0.016105565599995316,0.95611,0.9349200000000001,0.0008960589390964438,0.005320129257676808,0.003590700000131619,0.008455799999865121,0.009656300000187912,0.13363740000022517,154.17174797476588,60.574488815370955,0.007659214999898722,0.020590065000169484,0.00841067899990321,0.023394545000583085
32,128,1,128,glove-100-angular,0,42.716433999999936,34.565883700000086,0.004164903380008036,0.003319334889998436,0.916376,0.8233860000000001,0.0003576215736358689,0.0007222298188971194,0.0030425999993894948,0.0023177000002760906,0.007864400000471505,0.05603380000002289,234.10193837809624,289.30259925627115,0.00473550500055353,0.00409119999997074,0.00513980499959871,0.005049815000052149
32,128,1,128,glove-25-angular,0,88.71938800000498,29.112523700001475,0.008729566259987042,0.002789291969975602,0.9999969999999999,0.9726830000000002,0.0010363729587055755,0.0010178372853362652,0.006931500000064261,0.0019742000004043803,0.02567819999967469,0.05824340000253869,112.7149344177108,343.4947826250973,0.010237975001655285,0.003215505000844132,0.012389823002013146,0.003979405003992725
32,128,1,128,h-and-m-2048-angular-filters,0,76.12352570000076,51.8735663999978,0.006692440620069829,0.004262953069990181,0.9999400000000002,0.997236,0.0021451677386495577,0.002136717113341051,0.001621399998839479,0.001994799997191876,0.018628700003318954,0.05150080000021262,131.36543411572305,192.7764118412422,0.010687185002097975,0.007336930001838482,0.012635110999181054,0.011151980998401997
32,128,1,128,h-and-m-2048-angular-no-filters,0,55.92391280000447,68.2903759999972,0.004608841579954606,0.005710374519985635,0.9994,0.9991400000000001,0.0006375417074455462,0.001581355294061339,0.0030284999957075343,0.003655200001958292,0.015742499992484227,0.10203039999760222,178.81438367451284,146.4335179528139,0.005583209992619231,0.00798710499584558,0.006084102008462651,0.009736619997274829
32,128,1,128,laion-small-clip,0,20.890568207993056,34.599802208002075,0.0038825545427156613,0.006383154267750797,0.9962000000000002,0.9517200000000001,0.0010698546506833142,0.0050875262506149665,0.0017288340022787452,0.0014923340058885515,0.03404324999428354,0.06808574999740813,239.34246068457452,144.50949661335417,0.005396810101956362,0.017857370551791974,0.006272802317107564,0.020859199924016154
32,128,1,128,random-100-euclidean,0,0.017239000000017768,0.11619050000012976,0.001543300000025738,0.011200759999996989,1.0,1.0,0.0010677758547670236,0.017510609635083295,0.0009771999998520187,0.0014446999998654064,0.004697500000020227,0.04823039999996581,580.0800510464467,86.06555613401123,0.003317755000091435,0.046335314999987526,0.00442155100003447,0.04785138299997015
